ID,Date,Time,Species,Conventional,Vem Tag Type,Vem Tag no.,Vem Tag Code,FL (cm),PCL (cm),Cohort,Area,Capture_Lat_Deg,Capture_Lat_min,Capture_Lon_Degrees,Capture_Lon_min,Stomach Everted?,Eyes Popped?,Bladder Vented?,Point of Incision,DNA Clip,Cannulation,Sex,Video?,Photo?,Photo Name,Audio Log File,Dropshot?,Tissue Sample,Gut sample,Tagger,Notes,Recaptured,Detections 20130713,Comments
20120818Dog1,8/18/12,17:33,Spiny Dogfish,none,v16,1138113,14412,73,,3,Penguin Banks,21,0.123,157,23.801,N,N,N,abdomen,9,-,F,"20120818_tagging/20120818Dogfish.MP4, ",20120818_penguin/P1030425.JPG,P1030425 to P1030448,N,Y,N,N,KW,Monchong V16 depth tag.  Tagging went well.  Lots of photos for species ID.,,,
20121201Opaka45,12/1/12,20:18,Paka,H10689,v13,,37935,46,,8,Makapuu,21,16.808,157,34.42,,,Y,abdomen,5,-,-,N,,,,Y,N,N,KW,Position is estimate,,,
20121201Opaka46,12/1/12,20:25,Paka,H10654,v13,,37936,37,,8,Makapuu,21,16.808,157,34.42,,,Y,abdomen,6,-,-,N,,,,Y,N,N,KW,Position is estimate,,,
20121201Opaka47,12/1/12,20:56,Paka,H10691,v13,,37937,40,,8,Makapuu,21,16.808,157,34.42,,,Y,abdomen,N,-,-,N,,,,Y,N,N,KW,Position is estimate,,,
20121201Opaka48,12/1/12,21:16,Paka,H10692,v13,,37938,39,,8,Makapuu,21,16.808,157,34.42,,,Y,abdomen,7,-,-,N,,,,Y,N,N,KW,Position is estimate,,,
20121201Opaka49,12/1/12,21:21,Paka,H10693,v13,,37939,44,,8,Makapuu,21,16.808,157,34.42,,,Y,abdomen,8,-,-,N,,,,Y,N,N,KW,Position is estimate,,,
20121203Opaka50,12/2/12,5:28,Paka,H10694,v13,,37940,40,,8,Makapuu,21,16.808,157,34.42,,,Y,abdomen,N,-,-,N,,,,Y,N,N,KW,Position is estimate,,,
20121203Opaka51,12/2/12,7:11,Paka,H10695,v13,,37941,58,,8,Makapuu,21,15.941,157,35.474,,,Y,abdomen,9,-,-,N,,,,Y,N,N,KW,,,,
20130113opaka62,1/13/13,22:50:02,paka,HI10696,v13,1094053,37948,47,,,penguin banks,21,0.755,157,24.54,,,,,,,,,,,,,,,,,,,
20130113opaka63,1/13/13,0:09:12,paka,HI10697,v13,1094054,37949,51,,,penguin banks,21,0.731,157,24.871,,,,,,,,,,,,,,,,,,,
20130113opaka64,1/13/13,0:23:49,paka,HI10700,v13,1094055,37950,49,,,penguin banks,21,0.724,157,24.486,,,,,,,,,,,,,,,,,,,
20130113opaka65,1/13/13,0:34:57,paka,HI8646,v13,1094056,37951,45,,,penguin banks,21,0.722,157,14.489,,,,,,,,,,,,,,,,,,,
20130113opaka66,1/13/13,0:50:31,Paka,HI8648,v13,1094057,37952,42,,,penguin banks,21,0.707,157,24.511,,,,,,,,,,,,,,,,,,,
20130113opaka52,1/13/13,1:13:50,paka,HI8649,v13,1094058,37953,54,,9,penguin banks,21,0.703,157,24.516,,,,,,,,,,,,,,,,,,,
20130113opaka53,1/13/13,1:35,paka,HI8650,v13,1094059,37954,46,,9,penguin banks,21,0.703,157,24.516,,,,,,,,,,,,,,,,,,,
20130113opaka54,1/13/13,2:09,Paka,HI8651,v13,1094060,37955,52,,9,penguin banks,21,0.703,157,24.516,,,,,,,,,,,,,,,,,,,
20130113opaka55,1/13/13,2:22,Paka,HI8652,v13,1094061,37956,59,,9,penguin banks,21,0.703,157,24.516,,,,,,,,,,,,,,,,,,,
20130113opaka56,1/13/13,2:30,Paka,HI8653,v13,1094062,37957,49,,9,penguin banks,21,0.703,157,24.516,,,,,,,,,,,,,,,,,,,
20130113opaka57,1/13/13,3:01,Paka,HI8655,v13,1094063,37958,48,,9,penguin banks,21,0.703,157,24.516,,,,,,,,,,,,,,,,,,,
20130113opaka58,1/13/13,6:10,Paka,HI8656,v13,1094064,37959,54,,9,penguin banks,21,0.703,157,24.516,,,,,,,,,,,,,,,,,,,
20121122Opaka38,11/22/12,20:41,Paka,none,v13,1094065,37960,30,,7,Penguin Banks,21,0.778,157,21.277,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121123Opaka39,11/23/12,2:56,Paka,H10674,v13,1094066,37961,39,,7,Penguin Banks,21,0.25,157,21.932,,,Y,abdomen,2,-,-,,,,,Y,N,N,KW,,,,
20121123Opaka40,11/23/12,13:06,Paka,H10685,v13,1094067,37962,42,,7,Penguin Banks,21,0.246,157,24.558,,,Y,abdomen,3,-,-,,,,,Y,N,N,KW,,,,
20121123Opaka41,11/23/12,13:38,Paka,H10687,v13,1094068,37963,52,,7,Penguin Banks,21,0.249,157,24.565,,,Y,abdomen,4,-,-,Y,,,,N,N,N,KW,fell off dropshot,,,
20121103Opaka27,11/4/12,2:42,Paka,H16071,v13,1094070,37965,43,,6,Makapuu,21,16.771,157,34.51,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
